sample_id,platform,listing_id,title,sector,region,asking_price_eur_or_band,revenue,profit,staff,retirement_stated,url,fetch_date
BT01,Bedrijventekoop.nl,110900,Kleine boten producent,light manufacturing,Utrecht,€ 0 - € 100.000,€ 0 - € 100.000,€ 0 - € 100.000,< 5,no,https://www.bedrijventekoop.nl/te-koop-aangeboden/110900/kleine-boten-producent,2026-09-03
BT02,Bedrijventekoop.nl,110498,Kunststof verwerkend bedrijf,light manufacturing,Noord-Holland,€ 0 - € 100.000,€ 0 - € 100.000,€ 0 - € 100.000,< 5,no,https://www.bedrijventekoop.nl/te-koop-aangeboden/110498/kunststof-verwerkend-bedrijf,2026-09-03
BT03,Bedrijventekoop.nl,110435,Duurzaam modulair concept voor meubels en gebruiksvoorwerpen met prototypes.,light manufacturing,Nederland,€ 0 - € 100.000,€ 0 - € 100.000,€ 0 - € 100.000,0,no,https://www.bedrijventekoop.nl/te-koop-aangeboden/110435/duurzaam-modulair-concept-voor-meubels-en-gebruiksvoorwerpen-met-prototypes,2026-09-03
BT04,Bedrijventekoop.nl,110199,"Bakkerijconcept met Limburgse vlaaien, taarten en seizoensgebonden specialiteiten",light manufacturing,Overijssel,€ 0 - € 100.000,Vertrouwelijk,Vertrouwelijk,< 5,no,https://www.bedrijventekoop.nl/te-koop-aangeboden/110199/bakkerijconcept-met-limburgse-vlaaien-taarten-en-seizoensgebonden-specialiteiten,2026-09-03
BT05,Bedrijventekoop.nl,110960,Biologisch en internationaal bekroond wodkamerk,wholesale/trade,Nederland,€ 100.000 - € 250.000,Vertrouwelijk,Vertrouwelijk,0,no,https://www.bedrijventekoop.nl/te-koop-aangeboden/110960/biologisch-en-internationaal-bekroond-wodkamerk,2026-09-03
BT06,Bedrijventekoop.nl,110715,Webshop in gezondheidsproducten,wholesale/trade,Midden-Nederland,€ 0 - € 100.000,€ 100.000 - € 250.000,€ 0 - € 100.000,< 5,no,https://www.bedrijventekoop.nl/te-koop-aangeboden/110715/webshop-in-gezondheidsproducten,2026-09-03
BT07,Bedrijventekoop.nl,110711,On-line foodgroothandel te koop,wholesale/trade,Nederland,€ 0 - € 100.000,€ 100.000 - € 250.000,€ 0 - € 100.000,< 5,no,https://www.bedrijventekoop.nl/te-koop-aangeboden/110711/on-line-foodgroothandel-te-koop,2026-09-03
BT08,Bedrijventekoop.nl,110482,Slijterij met interessante klantenkring (Kennemerland),wholesale/trade,Noord-Holland,€ 100.000 - € 250.000,€ 250.000 - € 500.000,€ 0 - € 100.000,< 5,no,https://www.bedrijventekoop.nl/te-koop-aangeboden/110482/slijterij-met-interessante-klantenkring-kennemerland,2026-09-03
BT09,Bedrijventekoop.nl,110560,Aziatische foodbrand met schaalbare groei in retail en horeca zoekt investeerder,wholesale/trade,Nederland,€ 0 - € 100.000,Vertrouwelijk,Vertrouwelijk,< 5,no,https://www.bedrijventekoop.nl/te-koop-aangeboden/110560/aziatische-foodbrand-met-schaalbare-groei-in-retail-en-horeca-zoekt-investeerder,2026-09-03
BT10,Bedrijventekoop.nl,110942,Webshop in zelf-ontwikkelde voedingssupplementen,wholesale/trade,Nederland,€ 0 - € 100.000,€ 0 - € 100.000,€ 0 - € 100.000,< 5,no,https://www.bedrijventekoop.nl/te-koop-aangeboden/110942/webshop-in-zelf-ontwikkelde-voedingssupplementen,2026-09-03
