Rank,HS4,Description,Value_2023_EUR,Value_2025_EUR,Change_EUR,Change_Pct,Compliance_Flags
1,2709,"Petroleum oils and oils obtained from bituminous minerals, crude",59721383345,42108780553,-17612602792,-29.5%,GPSR / Standard
2,8471,"Automatic data-processing machines and units thereof; magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, n.e.s.",30320721232,37861625535,7540904303,+24.9%,CE (Machinery/EMC/LVD/RED); WEEE/Battery EPR; CRA ((EU) 2024/2847)
3,8517,"Telephone sets, incl. telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data, incl. apparatus for communication in a wired or wireless network {such as a local or wide area network}; parts thereof (excl. than transmission or reception apparatus of heading 8443, 8525, 8527 or 8528)",32476656713,32299288278,-177368435,-0.5%,CE (Machinery/EMC/LVD/RED); WEEE/Battery EPR; CRA ((EU) 2024/2847)
4,2710,"Petroleum oils and oils obtained from bituminous minerals (excl. crude); preparations containing >= 70% by weight of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, n.e.s.; waste oils containing mainly petroleum or bituminous minerals(2002-2500);Petroleum oils and oils obtained from bituminous minerals (excl. crude); preparations containing >= 70% by weight of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, n.e.s.(1988-2001)",13375501762,11544368216,-1831133546,-13.7%,GPSR / Standard
5,8542,Electronic integrated circuits; parts thereof,14398954902,11279409146,-3119545756,-21.7%,CE (Machinery/EMC/LVD/RED); WEEE/Battery EPR
6,2711,Petroleum gas and other gaseous hydrocarbons,18832838609,10949898665,-7882939944,-41.9%,GPSR / Standard
7,9018,"Instruments and appliances used in medical, surgical, dental or veterinary sciences, incl. scintigraphic apparatus, other electro-medical apparatus and sight-testing instruments, n.e.s.",9298518663,10291520937,993002274,+10.7%,CE (MDR/EMC)
8,3002,"Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera and other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excl. yeasts) and similar products",7363285100,9952140912,2588855812,+35.2%,GPSR / Standard
9,7601,Unwrought aluminium,7027637734,7020886154,-6751580,-0.1%,GPSR / Standard
10,9021,"Orthopaedic appliances, incl. crutches, surgical belts and trusses; splints and other fracture appliances; artificial parts of the body; hearing aids and other appliances which are worn or carried, or implanted in the body, to compensate for a defect or disability",5892327756,6260336361,368008605,+6.2%,CE (MDR/EMC)
11,1801,"Cocoa beans, whole or broken, raw or roasted",2169169583,6159791532,3990621949,+184.0%,GPSR / Standard
