id,name,parent_category,sub_category,country,effective_usd,backers_count,launch_date,blurb,urls
1812062326,eufyMake E1: the First Personal 3D-Texture UV Printer,Technology,DIY Electronics,US,46762258.0,17822,2025-04-29,All-in-One Modular|Compact Size|3D Texture|True Colors That Last|300+ Materials|AI-Powered|Self-Cleaning|SMB|Precise Positioning,"{""web"":{""project"":""https://www.kickstarter.com/projects/ankermake/eufymake-e1-the-first-personal-3d-textured-uv-printer"",""rewards"":""https://www.kickstarter.com/projects/ankermake/eufymake-e1-the-first-personal-3d-textured-uv-printer/rewards""}}"
339473088,The Official Cyberpunk Trading Card Game,Games,Tabletop Games,US,28353088.0,50773,2026-03-17,Build Your Crew. Earn Your Legend.,"{""web"":{""project"":""https://www.kickstarter.com/projects/cyberpunktcg/the-official-cyberpunk-trading-card-game"",""rewards"":""https://www.kickstarter.com/projects/cyberpunktcg/the-official-cyberpunk-trading-card-game/rewards""}}"
411573180,Snapmaker U1 Color 3D Printer: 5X More Speed. 5X Less Waste.,Technology,3D Printing,US,20614548.0,20680,2025-08-19,4 Toolheads | 5s Toolhead Swap | Multi-Material | Low Waste | 500 mm/s Speed | Smart Calibration | Auto Filament System | App Control,"{""web"":{""project"":""https://www.kickstarter.com/projects/snapmaker/snapmaker-u1-color-3d-printer-5x-more-speed-5x-less-waste"",""rewards"":""https://www.kickstarter.com/projects/snapmaker/snapmaker-u1-color-3d-printer-5x-more-speed-5x-less-waste/rewards""}}"
511374686,XGIMI TITAN Noir Series: A Dual Iris 4K RGB Laser Projector,Technology,Hardware,US,19372823.0,6178,2026-04-23,"Dual Intelligent Iris System | 10,000:1 Native Contrast | 7000 ISO Lumens | Anti-RBE(2D & 3D) | VRR supported","{""web"":{""project"":""https://www.kickstarter.com/projects/xgimititannoir/xgimi-titan-noir-series-4k-projector"",""rewards"":""https://www.kickstarter.com/projects/xgimititannoir/xgimi-titan-noir-series-4k-projector/rewards""}}"
1850458289,AWOL Vision Aetherion: Pixel-Clarity RGB Laser UST Projector,Technology,Hardware,US,18649456.0,7050,2026-02-10,6000:1 Native Contrast Ratio | Anti-RBE in 3D&2D | 4K up to 200’’ | World's 1st VRR UST | Backed by Valerion,"{""web"":{""project"":""https://www.kickstarter.com/projects/awolvision/awol-vision-aetherion-pixel-clarity-rgb-laser-ust-projector"",""rewards"":""https://www.kickstarter.com/projects/awolvision/awol-vision-aetherion-pixel-clarity-rgb-laser-ust-projector/rewards""}}"
870254269,NestWorks C500 - Next-Gen Smartest CNC with Industrial Power,Technology,Fabrication Tools,HK,13297726.83598444,3541,2025-11-04,"800W, 18,000 RPM Spindle | 10× Productivity | Auto Tool Changer | ±0.02mm Precision | 3D Probe | MQL Coolant | 4-Axis | Hard-Metal CNC","{""web"":{""project"":""https://www.kickstarter.com/projects/959480926/nestworks-c500-next-gen-smartest-cnc-with-industrial-power"",""rewards"":""https://www.kickstarter.com/projects/959480926/nestworks-c500-next-gen-smartest-cnc-with-industrial-power/rewards""}}"
235978012,"Makera Z1 Desktop CNC: Entry-level CNC, Pro-level Power",Technology,Fabrication Tools,HK,12432266.5898092,8284,2025-10-28,Metal / Wood / Endless Materials | Industrial-Grade Accuracy | Smart CNC Workflow | One-Click CAM Software | AI-Powered CNC Modeling,"{""web"":{""project"":""https://www.kickstarter.com/projects/makera-inc/makera-z1-entry-level-cnc-pro-level-power"",""rewards"":""https://www.kickstarter.com/projects/makera-inc/makera-z1-entry-level-cnc-pro-level-power/rewards""}}"
1431038175,The Smith Blade (21-in-1 Titanium Multi-Tool),Technology,Gadgets,CA,11141193.56120175,38323,2025-08-06,A lightweight EDC with an M390 blade that can cut through almost anything...,"{""web"":{""project"":""https://www.kickstarter.com/projects/hacksmith/the-smith-blade-21-in-1-titanium-multi-tool"",""rewards"":""https://www.kickstarter.com/projects/hacksmith/the-smith-blade-21-in-1-titanium-multi-tool/rewards""}}"
1323681751,Valerion VisionMaster: Cinematic-Grade RGB Laser Projector,Technology,Gadgets,US,10921452.0,4824,2024-10-10,Most Funded Projector in Crowdfunding History | 2024 Most Funded Crowdfunding Project | The Hook Up's 2024 Top Pick Lifestyle Projector,"{""web"":{""project"":""https://www.kickstarter.com/projects/valerionvisionmaster/valerion-visionmaster-cinematic-grade-rgb-laser-projector"",""rewards"":""https://www.kickstarter.com/projects/valerionvisionmaster/valerion-visionmaster-cinematic-grade-rgb-laser-projector/rewards""}}"
1404966192,LiberNovo Omni - World's First Dynamic Ergonomic Chair,Technology,Hardware,HK,10186958.54995,11620,2025-06-24,Bionic FlexFit Backrest | Dynamic Support System | OmniStretch Massage | 4 Recline Positions: 105°–160° | Precision Adjustments,"{""web"":{""project"":""https://www.kickstarter.com/projects/libernovo/libernovo-omni-worlds-first-dynamic-ergonomic-chair"",""rewards"":""https://www.kickstarter.com/projects/libernovo/libernovo-omni-worlds-first-dynamic-ergonomic-chair/rewards""}}"
