rank,product_name,platform,country,usd_raised,backers,launch_date,category,eu_ce_category,eu_seller_exists,eu_seller_details,check_method,check_date
1,eufyMake E1: Personal 3D-Texture UV Printer,Kickstarter,US,46762258.0,17822,2025-04-29,Technology / DIY Electronics,"Electrical (LVD/EMC), Connected (RED/CRA), RoHS/WEEE",Yes,Official Anker Innovations EU B.V. store and Amazon.de/nl retail channels,"Amazon.de / Amazon.nl search, Anker official EU site",2026-09-03
2,Snapmaker U1 Color 3D Printer,Kickstarter,US,20614548.0,20680,2025-08-19,Technology / 3D Printing,"Electrical (LVD/EMC), Machinery ((EU) 2023/1230), RoHS/WEEE",Yes,Official EU store (eu.snapmaker.com) and Amazon.de direct fulfillment,"Amazon.de search, eu.snapmaker.com",2026-09-03
3,XGIMI TITAN Noir Series: Dual Iris 4K RGB Laser Projector,Kickstarter,US,19372823.0,6178,2026-04-23,Technology / Hardware,"Electrical, Optical/Laser Safety (EN 60825), Connected (RED/CRA), RoHS/WEEE",Yes,"XGIMI Technology GmbH (Germany); retail at MediaMarkt, Coolblue, Amazon.de",Amazon.de / MediaMarkt.de catalog search,2026-09-03
4,AWOL Vision Aetherion: RGB Laser TV,Kickstarter,US,18649456.0,7050,2026-02-10,Technology / Hardware,"Electrical, Laser Safety, Connected (RED/CRA)",Yes,Official store eu.awolvision.com and Amazon.de seller profile,"Amazon.de search, eu.awolvision.com",2026-09-03
5,NestWorks C500: Smart Desktop CNC with AI,Kickstarter,HK,13297727.0,3541,2025-11-04,Technology / Fabric Tools,"Electrical (LVD/EMC), Machinery Directive, Connected (RED/CRA)",No,Crowdfunding D2C export only; no EU retail distributor or Amazon EU seller,"Amazon.de/nl catalog search, maker domain check",2026-09-03
6,Makera Z1 Desktop CNC,Kickstarter,HK,12432267.0,8284,2025-10-28,Technology / Fabric Tools,"Electrical, Machinery Directive, Connected (RED/CRA)",No,Makera ships D2C from HK/US; no authorized European distributor or Amazon EU stock,"makera.com, Amazon.de/nl search",2026-09-03
7,The Smith Blade (21-in-1 Titanium Multi-Tool),Kickstarter,CA,11141194.0,38323,2025-08-06,Technology / Gadgets,"General Product Safety (GPSR), REACH chemical testing",No,Direct fulfillment from North America; no EU distributor or Amazon.de/.nl listing,Amazon.de / Amazon.nl search,2026-09-03
8,Valerion VisionMaster RGB Laser Projector,Kickstarter,US,10921452.0,4824,2024-10-10,Technology / Gadgets,"Electrical, Optical/Laser, Connected (RED/CRA)",Partial,"Sister brand of AWOL Vision; pre-order portal live, fledgling EU warehousing","valerion.com, Amazon.de search",2026-09-03
9,LiberNovo Omni: Dynamic Ergonomic Chair,Kickstarter,HK,10186959.0,11620,2025-06-24,Technology / Hardware,"Furniture Safety (EN 1335), GPSR",Yes,"Official store on Amazon.de, European fulfillment from German 3PL",Amazon.de listing verification,2026-09-03
10,UGREEN AI NAS / NASync Series,Kickstarter,US,8844449.0,3872,2026-03-24,Technology / Hardware,"Electrical (LVD/EMC), Connected (RED/CRA), RoHS/WEEE",Yes,Ugreen Group GmbH (Germany); ubiquitous Amazon.de/.nl presence and retail,Amazon.de / Amazon.nl catalog,2026-09-03
11,Nebula X1 Pro Mobile Theater Projector,Kickstarter,US,8243808.0,2322,2025-09-23,Technology / Hardware,"Electrical, Connected (RED/CRA), Battery Regulation",Yes,Anker Innovations EU B.V. distribution via Amazon and electronics retail,Amazon.de / seenebula.com,2026-09-03
12,Lymow One: Boundary-Free Robot Mower,Kickstarter,US,7488321.0,3415,2024-10-10,Technology / Robots,"Electrical, Machinery Directive, Connected (RED/CRA), Battery Regulation",Yes,eu.lymow.com and official regional partner Lymow Baltics (TÜV Rheinland certified),"eu.lymow.com, European distributor register",2026-09-03
13,BB-777: Iconic Retro Boombox 270W,Kickstarter,US,7131764.0,9334,2026-03-24,Technology / Gadgets,"Electrical (LVD/EMC), Connected (RED), Battery ((EU) 2023/1542), WEEE/RoHS",No,"Sold exclusively by Bumpboxx US; no European retail distributor, no Amazon EU store","bumpboxx.com, Amazon.de / Amazon.nl search",2026-09-03
14,JetKVM: Remote KVM Over IP Appliance,Kickstarter,US,5927862.0,45880,2024-10-04,Technology / Hardware,"Electrical (EMC), Connected Device (CRA / Cyber Resilience Act, RED), WEEE/RoHS",No,No authorized EU distributor; no Amazon.de/.nl presence; D2C only + AliExpress third-party,"jetkvm.com, Amazon.de/nl search, user forums",2026-09-03
15,AEKE S1 Pro: Full-Body AI Home Gym,Kickstarter,US,5866348.0,1885,2026-05-20,Design / Product Design,"Electrical (LVD/EMC), Machinery Directive, Connected (RED/CRA), EN ISO 20957",No,US/China creator; zero European distribution channels or Amazon EU listings,"aeke.com, Amazon.de search",2026-09-03
16,Anker SOLIX F3800 Home Power Station,Kickstarter,US,5813434.0,1570,2023-10-09,Technology / Hardware,"High Voltage (LVD), Battery Regulation, Grid-tie EMC, WEEE",Yes,"Anker SOLIX EU B.V., Amazon.de/.nl, licensed electrical wholesalers",Amazon.de / ankersolix.com,2026-09-03
17,GPD WIN 4 / Pocket 4 Handheld PC,Indiegogo,US/Global,5596057.0,27980,2023-01-15,Productivity,"Electrical (EMC), Connected (RED/CRA), Battery Regulation, RoHS/WEEE",Partial,Distributed by boutique UK/DE reseller DroiX; no official direct EU subsidiary,"gpd.hk, DroiX.net, Amazon.de search",2026-09-03
18,XLASERLAB X1 / X1 Pro Laser Cutter,Kickstarter,HK,5225935.0,1706,2025-02-11,Technology / Fabric Tools,"Laser Safety (EN 60825), Machinery Directive, EMC, RoHS",No,Crowdfunding direct export only; no EU retail presence or authorized importer,"Amazon.de/nl search, maker web portal",2026-09-03
19,xTool WonderPress 3D Auto Heat Press,Kickstarter,US,5191321.0,9251,2026-04-29,Technology / DIY Electronics,"Electrical (LVD/EMC), Machinery Directive, RoHS",Yes,Makeblock Europe B.V. (eu.xtool.com) and Amazon.de/.nl official stores,Amazon.de / eu.xtool.com,2026-09-03
20,TIMEMORE Electric Coffee Grinder 064/078,Kickstarter,SG,4988851.0,10836,2023-03-14,Technology / Hardware,"Electrical (LVD/EMC), Food Contact Materials (FCM (EC) 1935/2004), RoHS/WEEE",Yes,Extensively distributed across EU specialty coffee distributors and Amazon.de/.nl,Amazon.de / CoffeeFriend / specialty EU retailers,2026-09-03
21,FibreSeeker 3 Continuous Fiber 3D Printer,Kickstarter,US,4698825.0,1539,2025-11-17,Technology / 3D Printing,"Electrical, Machinery Directive, Connected (RED/CRA)",No,"Direct crowdfund backer fulfillment only; no EU branch, distributor, or Amazon listing",Amazon.de / Amazon.nl search,2026-09-03
22,RingConn Gen 2 Smart Health Ring,Kickstarter,US,4415966.0,18428,2024-08-01,Technology / Wearables,"Connected Wearable (RED, CRA), Battery Regulation ((EU) 2023/1542), RoHS/WEEE",No,Direct D2C web sales only (ringconn.com); no dedicated EU retail distributor or Amazon EU stock,"Amazon.de/nl search, ringconn.com shipping policy",2026-09-03
23,Longer ePrint Dual-Head 3D Printer,Kickstarter,US,4294357.0,1621,2025-11-25,Technology / DIY Electronics,"Electrical, Machinery Directive, RoHS",Yes,Official EU portal longer3d.eu and Amazon.de store presence,"longer3d.eu, Amazon.de",2026-09-03
24,iGarden Swim Jet X Series Pool Jet,Kickstarter,US,4243667.0,2093,2026-03-12,Technology / Hardware,"Submersible Pump Safety (EN 60335-2-41), LVD/EMC, Machinery Directive",No,US/China cross-border direct sales; no European pool equipment distributor or Amazon EU seller,Amazon.de / pool equipment supplier registries,2026-09-03
25,Titan 2 Elite 5G QWERTY Smartphone,Kickstarter,HK,4078241.0,8836,2026-03-24,Technology / Hardware,"Connected Phone (RED 2014/53/EU, CRA), Battery Regulation, RoHS/WEEE",No,Unihertz sells D2C from HK; no authorized European carrier or distributor network,"unihertz.com, Amazon.de search",2026-09-03
26,Pongbot Aura: AI Table Tennis Coach Robot,Kickstarter,HK,4021030.0,4836,2026-05-19,Technology / Robots,"Electrical, Machinery Directive, Connected (RED/CRA), Battery Regulation",No,Specialized sports robot; zero EU retail distributors or Amazon EU listings,"Amazon.de/nl, pongbot web presence",2026-09-03
27,Rokid Glasses: Lightweight AR Glasses,Kickstarter,HK,4016281.0,5875,2025-08-26,Technology / Wearables,"Connected Wearable (RED, CRA), Optical Safety, Battery Regulation, RoHS",No,Direct pre-orders on global.rokid.com; no authorized EU retail distributor or Amazon EU storefront,"global.rokid.com, Amazon.de search",2026-09-03
28,Flux Keyboard: MagLev Screen Keyboard,Kickstarter,AU,3596162.0,8171,2023-03-21,Technology / Hardware,"Electrical (EMC), RoHS, WEEE, Packaging EPR",No,Sold exclusively D2C on fluxkeyboard.com by Australian creator; no Amazon.de/.nl or EU retailer,"fluxkeyboard.com shipping tracker, Amazon.de/nl",2026-09-03
29,Carvera Air: Desktop CNC for Makers,Kickstarter,US,3469320.0,2098,2024-04-09,Technology / Fabric Tools,"Electrical, Machinery Directive, Connected (RED/CRA)",No,Direct sales via makera.com; no EU distributor network or local warehouse,"makera.com, Amazon.de search",2026-09-03
30,ELEGOO OrangeStorm Giga 3D Printer,Kickstarter,US,3386996.0,2005,2023-11-04,Technology / 3D Printing,"Electrical, Machinery Directive, RoHS/WEEE",Yes,Elegoo EU store and direct Amazon.de/.nl vendor presence,Amazon.de / eu.elegoo.com,2026-09-03
31,Kode Dot: All-In-One Maker Device,Kickstarter,US,3360759.0,16171,2025-11-04,Design / Product Design,"Electrical (EMC), Connected (RED/CRA), RoHS",No,Crowdfunded creator D2C only; no EU distributor or Amazon EU storefront,Amazon.de/nl search,2026-09-03
32,Halliday: Proactive AI Smart Glasses,Kickstarter,US,3305917.0,8023,2025-01-22,Technology / Wearables,"Connected Wearable (RED, CRA), Optical Safety, Battery Regulation",No,"Pre-order direct sales only; no EU distributor, no Amazon.de/.nl presence","halliday.ai, Amazon.de search",2026-09-03
33,Night Storm X3: 4K Night Vision Binoculars,Kickstarter,US,3248440.0,5879,2025-12-10,Technology / Gadgets,"Electrical (EMC), Battery Regulation, RoHS",No,Shipped from HK/US; no European distributor or Amazon.de/.nl presence,Amazon.de/nl catalog search,2026-09-03
34,YesWelder Firstess DP200 Welder,Kickstarter,US,3200177.0,5727,2024-08-29,Technology / Hardware,"High Voltage (LVD), Welding Safety (EN 60974-1), EMC",Yes,Official yeswelder.eu store and active Amazon.de store presence,"yeswelder.eu, Amazon.de",2026-09-03
35,Ostation 2: Personal Smart Battery Station,Indiegogo,US/Global,2247960.0,11240,2025-03-10,Energy & Green Tech,"Electrical (LVD/EMC), Battery ((EU) 2023/1542), Connected (RED/CRA)",No,"Crowdfunding direct export only; no EU warehouse, distributor, or Amazon EU stock","Amazon.de/nl search, Indiegogo page",2026-09-03
36,ThermaThera (써마쎄라) HIFU/RF Beauty Device,Wadiz,KR,1950000.0,5200,2023-11-15,Technology / Beauty Device,"Electrical (LVD/EMC), Medical Device Reg (MDR (EU) 2017/745 Annex XVI), RoHS",No,Sold only through Korean domestic channels and grey-market K-beauty exporters; no EU seller,"thermathera.co.kr, Amazon.de/nl search",2026-09-03
37,anymaka Portable Quick-Snap Hammock Stand,Indiegogo,US/Global,1920605.0,9600,2023-06-15,Travel & Outdoors,General Product Safety (GPSR mechanical stability EN 581),Partial,Global web store (anymaka.com) ships worldwide; sparse EU dealer presence,"anymaka.com, Amazon.de search",2026-09-03
38,Capsule Personal Dishwasher 2.0,Indiegogo,GB,976351.0,2850,2024-04-10,Home,"Electrical (LVD/EMC), Machinery, Ecodesign/Energy Label, WEEE/RoHS",No,"Sold only D2C by Loch Electronics UK; no Amazon.de/.nl presence, heavy backer backlog","lochelectronics.com, Amazon.de/nl",2026-09-03
39,iMini F1 Concealed Helmet Bluetooth Intercom,Zeczec,TW,500000.0,4560,2024-05-10,Technology / Audio,"Connected (RED 2014/53/EU, CRA), Battery Reg, UNECE R22.06 non-interference, WEEE",No,"Taiwan domestic campaign only; zero European distribution, no Amazon.de/.nl listing","zeczec.com, Amazon.de/nl search",2026-09-03
40,WILLCOOK PACKABLE Portable Microwave Bag,Makuake,JP,320000.0,2450,2024-03-01,Technology / Appliances,"Electrical (LVD/EMC), Connected (RED/CRA), Food Contact ((EC) 1935/2004), Battery",No,Willtex domestic Japanese sales only; zero European distributors or Amazon EU listings,"willtex.co.jp, Amazon.de/nl search",2026-09-03
