platform,project_id,title,creator,country,year,category,parent_category,raised_usd,backers,currency,state,compliance_flags,url,source_archive,amount_basis,backers_basis
Kickstarter,1812062326,eufyMake E1: the First Personal 3D-Texture UV Printer,eufyMake,US,2025,DIY Electronics,Technology,46762258,17822,USD,successful,electrical/electronic,https://www.kickstarter.com/projects/ankermake/eufymake-e1-the-first-personal-3d-textured-uv-printer,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count
Kickstarter,339473088,The Official Cyberpunk Trading Card Game,WeirdCo,US,2026,Tabletop Games,Games,28353088,50773,USD,successful,possible toy,https://www.kickstarter.com/projects/cyberpunktcg/the-official-cyberpunk-trading-card-game,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count
Kickstarter,411573180,Snapmaker U1 Color 3D Printer: 5X More Speed. 5X Less Waste.,Snapmaker,US,2025,3D Printing,Technology,20614548,20680,USD,successful,electrical/electronic,https://www.kickstarter.com/projects/snapmaker/snapmaker-u1-color-3d-printer-5x-more-speed-5x-less-waste,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count
Kickstarter,511374686,XGIMI TITAN Noir Series: A Dual Iris 4K RGB Laser Projector,XGIMI Tech,US,2026,Hardware,Technology,19372823,6178,USD,successful,electrical/electronic,https://www.kickstarter.com/projects/xgimititannoir/xgimi-titan-noir-series-4k-projector,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count
Kickstarter,1850458289,AWOL Vision Aetherion: Pixel-Clarity RGB Laser UST Projector,AWOL Vision,US,2026,Hardware,Technology,18649456,7050,USD,successful,electrical/electronic,https://www.kickstarter.com/projects/awolvision/awol-vision-aetherion-pixel-clarity-rgb-laser-ust-projector,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count
Kickstarter,870254269,NestWorks C500 - Next-Gen Smartest CNC with Industrial Power,NestWorks,HK,2025,Fabrication Tools,Technology,13282869,3541,HKD,successful,electrical/electronic; connected/CRA-triage,https://www.kickstarter.com/projects/959480926/nestworks-c500-next-gen-smartest-cnc-with-industrial-power,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count
Kickstarter,235978012,"Makera Z1 Desktop CNC: Entry-level CNC, Pro-level Power",Makera,HK,2025,Fabrication Tools,Technology,12407876,8284,HKD,successful,electrical/electronic,https://www.kickstarter.com/projects/makera-inc/makera-z1-entry-level-cnc-pro-level-power,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count
Kickstarter,1431038175,The Smith Blade (21-in-1 Titanium Multi-Tool),Hacksmith Industries,CA,2025,Gadgets,Technology,11172733,38323,CAD,successful,electrical/electronic,https://www.kickstarter.com/projects/hacksmith/the-smith-blade-21-in-1-titanium-multi-tool,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count
Kickstarter,1323681751,Valerion VisionMaster: Cinematic-Grade RGB Laser Projector,Valerion,US,2024,Gadgets,Technology,10921452,4824,USD,successful,electrical/electronic,https://www.kickstarter.com/projects/valerionvisionmaster/valerion-visionmaster-cinematic-grade-rgb-laser-projector,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count
Kickstarter,1404966192,LiberNovo Omni - World's First Dynamic Ergonomic Chair,LiberNovo,HK,2025,Hardware,Technology,10232267,11620,HKD,successful,electrical/electronic,https://www.kickstarter.com/projects/libernovo/libernovo-omni-worlds-first-dynamic-ergonomic-chair,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count
