platform,project_id,title,creator,country,year,category,parent_category,launched_date,deadline_date,raised_usd,backers,currency,state,compliance_flags,url,source_archive,amount_basis,backers_basis,eu_seller_status,eu_check_method,eu_check_date,evidence_url,check_note
Kickstarter,1812062326,eufyMake E1: the First Personal 3D-Texture UV Printer,eufyMake,US,2025,DIY Electronics,Technology,2025-04-29,2025-06-28,46762258,17822,USD,successful,electrical; machinery/UV; connected,https://www.kickstarter.com/projects/ankermake/eufymake-e1-the-first-personal-3d-textured-uv-printer,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count,established EU channel,Official EU shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://eu.eufymake.com/products/eufymake-e1,Official EU store lists E1 in euros
Kickstarter,339473088,The Official Cyberpunk Trading Card Game,WeirdCo,US,2026,Tabletop Games,Games,2026-03-17,2026-04-17,28353088,50773,USD,successful,possible toy,https://www.kickstarter.com/projects/cyberpunktcg/the-official-cyberpunk-trading-card-game,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count,established EU channel,Official retailer list plus exact-title Amazon.de/.nl and web search,2026-09-03,https://cyberpunktcg.com/retailers,Named distributors cover several EU states
Kickstarter,411573180,Snapmaker U1 Color 3D Printer: 5X More Speed. 5X Less Waste.,Snapmaker,US,2025,3D Printing,Technology,2025-08-19,2025-09-30,20614548,20680,USD,successful,electrical; machinery; connected,https://www.kickstarter.com/projects/snapmaker/snapmaker-u1-color-3d-printer-5x-more-speed-5x-less-waste,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count,established EU channel,Maker shipping page plus exact-title Amazon.de/.nl and web search,2026-09-03,https://support.snapmaker.com/hc/en-us/articles/34288067864471-Snapmaker-U1-Supported-Shipping-Countries-Shipping-Warehouse-Shipping-Fees-and-Taxes-VAT,Official EU warehouse and VAT-inclusive route
Kickstarter,511374686,XGIMI TITAN Noir Series: A Dual Iris 4K RGB Laser Projector,XGIMI Tech,US,2026,Hardware,Technology,2026-04-23,2026-06-09,19372823,6178,USD,successful,electrical; radio/connected; laser,https://www.kickstarter.com/projects/xgimititannoir/xgimi-titan-noir-series-4k-projector,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count,established EU channel,Official EU shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://eu.xgimi.com/products/titan-noir,Official EU store lists Titan Noir in euros
Kickstarter,1850458289,AWOL Vision Aetherion: Pixel-Clarity RGB Laser UST Projector,AWOL Vision,US,2026,Hardware,Technology,2026-02-10,2026-03-31,18649456,7050,USD,successful,electrical; radio/connected; laser,https://www.kickstarter.com/projects/awolvision/awol-vision-aetherion-pixel-clarity-rgb-laser-ust-projector,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count,established EU channel,Official EU shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://awolvision.de/fr/collections/aetherion-series,Maker's EU shop lists Aetherion series
Kickstarter,870254269,NestWorks C500 - Next-Gen Smartest CNC with Industrial Power,NestWorks,HK,2025,Fabrication Tools,Technology,2025-11-04,2025-12-19,13282869,3541,HKD,successful,electrical; machinery; CRA interface triage,https://www.kickstarter.com/projects/959480926/nestworks-c500-next-gen-smartest-cnc-with-industrial-power,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count,no EU retail found,Maker site plus exact-title Amazon.de/.nl and web searches for EU seller/distributor,2026-09-03,https://www.nestworks.ai/,No checkout or named European reseller found; product still in campaign fulfillment
Kickstarter,235978012,"Makera Z1 Desktop CNC: Entry-level CNC, Pro-level Power",Makera,HK,2025,Fabrication Tools,Technology,2025-10-28,2025-12-12,12407876,8284,HKD,successful,electrical; machinery; connected,https://www.kickstarter.com/projects/makera-inc/makera-z1-entry-level-cnc-pro-level-power,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count,established EU channel,Official EU shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://eu.makera.com/products/makera-z1-desktop-cnc,Official EU store lists Z1
Kickstarter,1431038175,The Smith Blade (21-in-1 Titanium Multi-Tool),Hacksmith Industries,CA,2025,Gadgets,Technology,2025-08-06,2025-09-01,11172733,38323,CAD,successful,GPSR/packaging,https://www.kickstarter.com/projects/hacksmith/the-smith-blade-21-in-1-titanium-multi-tool,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count,established EU channel,Exact-title Amazon.de/.nl and European reseller search,2026-09-03,https://korena.eu/en-bg/products/hacksmith-smith-blade-pro-21-in-1-titanium-multi-tool-766H89H7,EU retailer lists exact product
Kickstarter,1323681751,Valerion VisionMaster: Cinematic-Grade RGB Laser Projector,Valerion,US,2024,Gadgets,Technology,2024-10-10,2024-11-24,10921452,4824,USD,successful,electrical; radio/connected; laser,https://www.kickstarter.com/projects/valerionvisionmaster/valerion-visionmaster-cinematic-grade-rgb-laser-projector,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count,established EU channel,Maker site plus exact-title Amazon.de/.nl and distributor search,2026-09-03,https://response-nordic.eu/valerion,Netherlands-based European distributor lists Valerion
Kickstarter,1404966192,LiberNovo Omni - World's First Dynamic Ergonomic Chair,LiberNovo,HK,2025,Hardware,Technology,2025-06-24,2025-08-23,10232267,11620,HKD,successful,electrical; connected,https://www.kickstarter.com/projects/libernovo/libernovo-omni-worlds-first-dynamic-ergonomic-chair,Kickstarter_2026-08-12.zip,Web Robots converted_pledged_amount (USD),Web Robots backers_count,established EU channel,Official EU shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://eu.libernovo.com/pages/faqs,EU shop and EU order information
