year,country,parent_category,completed,successful,failed,live_or_other,funded_usd_successful,backers_successful,success_rate_completed_pct
2023,AT,Design,4,4,0,0,66332,180,100.0
2023,AT,Fashion,3,1,2,0,25857,34,33.33
2023,AT,Food,3,1,2,1,22193,103,33.33
2023,AT,Technology,2,0,2,1,0,0,0.0
2023,AU,Crafts,10,6,4,0,7103,200,60.0
2023,AU,Design,32,32,0,5,2338159,17424,100.0
2023,AU,Fashion,33,25,8,0,172957,2193,75.76
2023,AU,Food,7,4,3,0,33961,506,57.14
2023,AU,Games,2,2,0,0,10284,295,100.0
2023,AU,Technology,12,11,1,0,4104484,10756,91.67
2023,BE,Crafts,1,0,1,1,0,0,0.0
2023,BE,Design,2,2,0,0,9807,144,100.0
2023,BE,Fashion,6,2,4,0,187412,104,33.33
2023,BE,Games,1,1,0,0,4284,87,100.0
2023,BE,Technology,2,1,1,0,172291,98,50.0
2023,CA,Crafts,34,18,16,4,202208,2601,52.94
2023,CA,Design,49,48,1,8,1696977,18704,97.96
2023,CA,Fashion,62,52,10,0,698014,7193,83.87
2023,CA,Food,17,6,11,0,47407,894,35.29
2023,CA,Games,6,6,0,0,13138,602,100.0
2023,CA,Technology,28,18,10,1,874656,2920,64.29
2023,CH,Crafts,1,0,1,0,0,0,0.0
2023,CH,Design,13,11,2,2,2427707,8614,84.62
2023,CH,Fashion,10,5,5,0,111298,579,50.0
2023,CH,Food,1,0,1,0,0,0,0.0
2023,CH,Technology,7,4,3,0,1435341,8665,57.14
2023,DE,Crafts,18,5,13,1,39605,253,27.78
2023,DE,Design,38,38,0,6,1149367,12018,100.0
2023,DE,Fashion,24,15,9,0,106517,951,62.5
2023,DE,Food,10,2,8,1,49666,901,20.0
2023,DE,Games,16,13,3,0,44871,1559,81.25
2023,DE,Technology,26,14,12,1,1436494,2338,53.85
2023,DK,Crafts,1,0,1,0,0,0,0.0
2023,DK,Design,10,10,0,0,264625,2192,100.0
2023,DK,Fashion,1,1,0,1,26619,109,100.0
2023,DK,Food,1,0,1,0,0,0,0.0
2023,DK,Technology,2,0,2,0,0,0,0.0
2023,ES,Crafts,8,3,5,2,77366,143,37.5
2023,ES,Design,14,12,2,0,268786,1570,85.71
2023,ES,Fashion,29,22,7,5,719020,5908,75.86
2023,ES,Food,3,0,3,0,0,0,0.0
2023,ES,Games,13,13,0,0,77993,3571,100.0
2023,ES,Technology,11,4,7,1,480832,1863,36.36
2023,FR,Crafts,8,3,5,0,2326,62,37.5
2023,FR,Design,25,24,1,4,2292663,7810,96.0
2023,FR,Fashion,24,19,5,5,230763,1795,79.17
2023,FR,Food,4,2,2,0,8612,55,50.0
2023,FR,Games,9,9,0,1,30682,1512,100.0
2023,FR,Technology,16,10,6,1,1169432,3526,62.5
2023,GB,Crafts,53,26,27,2,214820,2188,49.06
2023,GB,Design,125,124,1,16,8141155,66362,99.2
2023,GB,Fashion,126,99,27,10,524491,8269,78.57
2023,GB,Food,27,7,20,0,66563,952,25.93
2023,GB,Games,21,19,2,0,57116,1920,90.48
2023,GB,Technology,49,40,9,4,2594280,12585,81.63
2023,GR,Design,1,1,0,1,12127,131,100.0
2023,GR,Fashion,2,0,2,0,0,0,0.0
2023,GR,Food,1,0,1,0,0,0,0.0
2023,GR,Games,7,7,0,0,6284,312,100.0
2023,GR,Technology,1,0,1,0,0,0,0.0
2023,HK,Crafts,10,5,5,1,73930,261,50.0
2023,HK,Design,167,163,4,21,7811307,61906,97.6
2023,HK,Fashion,22,16,6,3,110485,1117,72.73
2023,HK,Food,1,0,1,0,0,0,0.0
2023,HK,Games,7,7,0,0,72646,1263,100.0
2023,HK,Technology,137,130,7,3,20032701,52676,94.89
2023,IE,Crafts,3,0,3,0,0,0,0.0
2023,IE,Design,1,1,0,0,2939,40,100.0
2023,IE,Fashion,1,1,0,0,6089,96,100.0
2023,IE,Food,1,0,1,0,0,0,0.0
2023,IE,Games,2,2,0,0,5843,474,100.0
2023,IE,Technology,1,0,1,0,0,0,0.0
2023,IT,Crafts,9,3,6,0,7471,117,33.33
2023,IT,Design,30,29,1,3,1075798,8654,96.67
2023,IT,Fashion,13,5,8,1,36574,92,38.46
2023,IT,Food,4,2,2,0,19568,122,50.0
2023,IT,Games,9,9,0,0,15357,619,100.0
2023,IT,Technology,17,5,12,0,327576,838,29.41
2023,JP,Crafts,11,9,2,0,101485,805,81.82
2023,JP,Design,67,67,0,15,1309888,11150,100.0
2023,JP,Fashion,31,26,5,0,238114,1624,83.87
2023,JP,Food,2,2,0,0,1605,19,100.0
2023,JP,Games,1,1,0,0,13190,455,100.0
2023,JP,Technology,6,6,0,0,254518,1100,100.0
2023,LU,Food,1,1,0,0,22883,89,100.0
2023,MX,Crafts,6,2,4,1,1580,9,33.33
2023,MX,Design,2,2,0,1,5868,52,100.0
2023,MX,Fashion,9,5,4,0,15371,226,55.56
2023,MX,Food,2,1,1,0,5318,180,50.0
2023,MX,Games,4,3,1,0,1950,112,75.0
2023,MX,Technology,6,2,4,2,24768,72,33.33
2023,NL,Crafts,6,6,0,2,22633,251,100.0
2023,NL,Design,20,19,1,1,1381241,8316,95.0
2023,NL,Fashion,8,7,1,4,80493,910,87.5
2023,NL,Food,1,0,1,0,0,0,0.0
2023,NL,Games,2,1,1,0,9261,285,50.0
2023,NL,Technology,11,8,3,0,1063090,4623,72.73
2023,NO,Design,2,2,0,0,245450,697,100.0
2023,NO,Fashion,2,0,2,0,0,0,0.0
2023,NO,Games,2,2,0,0,6583,158,100.0
2023,NO,Technology,2,0,2,0,0,0,0.0
2023,NZ,Crafts,2,0,2,0,0,0,0.0
2023,NZ,Design,7,7,0,1,197992,1284,100.0
2023,NZ,Fashion,1,0,1,0,0,0,0.0
2023,NZ,Food,0,0,0,1,0,0,
2023,NZ,Games,1,1,0,0,1800,117,100.0
2023,NZ,Technology,5,4,1,0,61002,389,80.0
2023,PL,Crafts,4,1,3,0,2068,30,25.0
2023,PL,Design,16,16,0,2,140675,795,100.0
2023,PL,Fashion,4,1,3,0,47727,377,25.0
2023,PL,Food,1,0,1,0,0,0,0.0
2023,PL,Games,5,5,0,0,21898,569,100.0
