Rank,HS4,Description,Value_2023_EUR,Value_2025_EUR,Change_EUR,Change_Pct,Compliance_Flags
1,8471,"Automatic data-processing machines and units thereof; magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, n.e.s.",1639655350,2018868171,379212821,+23.1%,CE (Machinery/EMC/LVD/RED); WEEE/Battery EPR; CRA ((EU) 2024/2847)
2,0207,"Meat and edible offal of fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls, fresh, chilled or frozen",352383056,421655870,69272814,+19.7%,Packaging/EPR (Afvalfonds)
3,9401,"Seats, whether or not convertible into beds, and parts thereof, n.e.s. (excl. medical, surgical, dental or veterinary of heading 9402)",481124802,406335688,-74789114,-15.5%,CE (LVD/EMC/GPSR); WEEE/Battery EPR
4,9403,"Furniture and parts thereof, n.e.s. (excl. seats and medical, surgical, dental or veterinary furniture)",271900587,276892697,4992110,+1.8%,CE (LVD/EMC/GPSR); WEEE/Battery EPR
5,8517,"Telephone sets, incl. telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data, incl. apparatus for communication in a wired or wireless network {such as a local or wide area network}; parts thereof (excl. than transmission or reception apparatus of heading 8443, 8525, 8527 or 8528)",116736637,276670635,159933998,+137.0%,CE (Machinery/EMC/LVD/RED); WEEE/Battery EPR; CRA ((EU) 2024/2847)
6,8528,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",344794450,270617543,-74176907,-21.5%,CE (Machinery/EMC/LVD/RED); WEEE/Battery EPR; CRA ((EU) 2024/2847)
7,0201,"Meat of bovine animals, fresh or chilled",160668009,268555699,107887690,+67.1%,Packaging/EPR (Afvalfonds)
8,8708,"Parts and accessories for tractors, motor vehicles for the transport of ten or more persons, motor cars and other motor vehicles principally designed for the transport of persons, motor vehicles for the transport of goods and special purpose motor vehicles of heading 8701 to 8705, n.e.s.",409081607,255001143,-154080464,-37.7%,GPSR / Standard
9,3925,"Builders' ware of plastics, n.e.s.",189009174,241935803,52926629,+28.0%,CE (CPR (EN 14351/EN 1090))
10,2710,"Petroleum oils and oils obtained from bituminous minerals (excl. crude); preparations containing >= 70% by weight of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, n.e.s.; waste oils containing mainly petroleum or bituminous minerals(2002-2500);Petroleum oils and oils obtained from bituminous minerals (excl. crude); preparations containing >= 70% by weight of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, n.e.s.(1988-2001)",398423211,224153924,-174269287,-43.7%,GPSR / Standard
11,1806,Chocolate and other food preparations containing cocoa,127516958,210588205,83071247,+65.1%,Packaging/EPR (Afvalfonds)
12,3002,"Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera and other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excl. yeasts) and similar products",99110887,202820407,103709520,+104.6%,GPSR / Standard
13,8704,"Motor vehicles for the transport of goods, incl. chassis with engine and cab",283810533,192957618,-90852915,-32.0%,GPSR / Standard
14,2402,"Cigars, cheroots, cigarillos and cigarettes of tobacco or of tobacco substitutes",188919926,184185535,-4734391,-2.5%,GPSR / Standard
15,6204,"Women's or girls' suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (excl. knitted or crocheted, wind-jackets and similar articles, slips, petticoats and panties, tracksuits, ski suits and swimwear)",175468767,182907137,7438370,+4.2%,GPSR / Standard
16,2707,Oils and other products of the distillation of high temperature coal tar; similar products in which the weight of the aromatic constituents exceeds that of the non-aromatic constituents,204219519,166051850,-38167669,-18.7%,GPSR / Standard
17,7308,"Structures and parts of structures ""e.g., bridges and bridge-sections, lock-gates, towers, lattice masts, roofs, roofing frameworks, doors and windows and their frames and thresholds for doors, shutters, balustrades, pillars and columns"", of iron or steel; plates, rods, angles, shapes, sections, tubes and the like, prepared for use in structures, of iron or steel (excl. prefabricated buildings of heading 9406)",134178660,160013376,25834716,+19.3%,CE (CPR (EN 14351/EN 1090))
18,3923,"Articles for the conveyance or packaging of goods, of plastics; stoppers, lids, caps and other closures, of plastics",140499670,154309688,13810018,+9.8%,Packaging/EPR (PPWR/Afvalfonds); Food-contact (EC 1935/2004)
19,8473,"Parts and accessories (other than covers, carrying cases and the like) suitable for use solely or principally with machines of heading 8469 to 8472, n.e.s.",125810797,153285015,27474218,+21.8%,CE (Machinery/EMC/LVD/RED); WEEE/Battery EPR; CRA ((EU) 2024/2847)
20,8703,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, incl. station wagons and racing cars (excl. motor vehicles of heading 8702)",155978176,151530557,-4447619,-2.9%,GPSR / Standard
21,7610,"Structures and parts of structures ""e.g., bridges and bridge-sections, towers, lattice masts, pillars and columns, roofs, roofing frameworks, doors and windows and their frames and thresholds for doors, shutters, balustrades"", of aluminium (excl. prefabricated buildings of heading 9406); plates, rods, profiles, tubes and the like, prepared for use in structures, of aluminium",77867541,148271001,70403460,+90.4%,CE (CPR (EN 14351/EN 1090))
22,9405,"Lamps and lighting fittings, incl. searchlights and spotlights, and parts thereof, n.e.s; illuminated signs, illuminated nameplates and the like having a permanently fixed light source, and parts thereof, n.e.s.",146540815,146707897,167082,+0.1%,CE (LVD/EMC/GPSR); WEEE/Battery EPR; CRA (if IoT/smart control)
23,8509,"Electromechanical domestic appliances, with self-contained electric motor; parts thereof (excl. vacuum cleaners, dry and wet vacuum cleaners)",136067881,134776939,-1290942,-0.9%,CE (Machinery/EMC/LVD/RED); WEEE/Battery EPR; Food-contact; CRA (if smart connected)
24,0407,"Birds' eggs, in shell, fresh, preserved or cooked",51535630,122784931,71249301,+138.3%,GPSR / Standard
25,2009,"Fruit juices, incl. grape must, and vegetable juices, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",89875071,118991046,29115975,+32.4%,Packaging/EPR (Afvalfonds)
26,6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted (excl. wadded waistcoats)",79550734,118760818,39210084,+49.3%,GPSR / Standard
27,7326,"Articles of iron or steel, n.e.s. (excl. cast articles)",94642016,116475536,21833520,+23.1%,GPSR / Standard
28,2106,"Food preparations, n.e.s.",63452950,113861038,50408088,+79.4%,Packaging/EPR (Afvalfonds)
29,4819,"Cartons, boxes, cases, bags and other packing containers, of paper, paperboard, cellulose wadding or webs of cellulose fibres, n.e.s.; box files, letter trays, and similar articles, of paperboard of a kind used in offices, shops or the like",83147908,113256961,30109053,+36.2%,Packaging/EPR (PPWR/Afvalfonds); Food-contact (EC 1935/2004)
30,6203,"Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (excl. knitted or crocheted, wind-jackets and similar articles, separate waistcoats, tracksuits, ski suits and swimwear)",72780462,112255555,39475093,+54.2%,GPSR / Standard
31,8482,Ball or roller bearings (excl. steel balls of heading 7326); parts thereof,140643819,110673493,-29970326,-21.3%,CE (Machinery/EMC/LVD/RED); WEEE/Battery EPR
32,8544,"Insulated ""incl. enamelled or anodised"" wire, cable ""incl. coaxial cable"" and other insulated electric conductors, whether or not fitted with connectors; optical fibre cables, made up of individually sheathed fibres, whether or not assembled with electric conductors or fitted with connectors",126203852,104568542,-21635310,-17.1%,CE (Machinery/EMC/LVD/RED); WEEE/Battery EPR
33,3920,"Plates, sheets, film, foil and strip, of non-cellular plastics, not reinforced, laminated, supported or similarly combined with other materials, without backing, unworked or merely surface-worked or merely cut into squares or rectangles (excl. self-adhesive products, and floor, wall and ceiling coverings of heading 3918)",76378219,102414755,26036536,+34.1%,GPSR / Standard
34,3303,"Perfumes and toilet waters (excl. aftershave lotions, personal deodorants and hair lotions)",83017249,101966062,18948813,+22.8%,Packaging/EPR (Afvalfonds)
35,6403,"Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather (excl. orthopaedic footwear, skating boots with ice or roller skates attached, and toy footwear)",91535599,99328348,7792749,+8.5%,GPSR / Standard
36,8510,"Electric shavers, hair clippers and hair-removing appliances, with self-contained electric motor; parts thereof",128620957,99133174,-29487783,-22.9%,CE (Machinery/EMC/LVD/RED); WEEE/Battery EPR
37,0901,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion",77870660,99084754,21214094,+27.2%,Packaging/EPR (Afvalfonds)
38,3304,"Beauty or make-up preparations and preparations for the care of the skin, incl. sunscreen or suntan preparations (excl. medicaments); manicure or pedicure preparations",78793113,98804016,20010903,+25.4%,GPSR / Standard
