platform,project_id,eu_seller_status,eu_check_method,eu_check_date,evidence_url,check_note,compliance_flags
Kickstarter,1812062326,established EU channel,Official EU shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://eu.eufymake.com/products/eufymake-e1,Official EU store lists E1 in euros,electrical; machinery/UV; connected
Kickstarter,339473088,established EU channel,Official retailer list plus exact-title Amazon.de/.nl and web search,2026-09-03,https://cyberpunktcg.com/retailers,Named distributors cover several EU states,possible toy
Kickstarter,411573180,established EU channel,Maker shipping page plus exact-title Amazon.de/.nl and web search,2026-09-03,https://support.snapmaker.com/hc/en-us/articles/34288067864471-Snapmaker-U1-Supported-Shipping-Countries-Shipping-Warehouse-Shipping-Fees-and-Taxes-VAT,Official EU warehouse and VAT-inclusive route,electrical; machinery; connected
Kickstarter,511374686,established EU channel,Official EU shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://eu.xgimi.com/products/titan-noir,Official EU store lists Titan Noir in euros,electrical; radio/connected; laser
Kickstarter,1850458289,established EU channel,Official EU shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://awolvision.de/fr/collections/aetherion-series,Maker's EU shop lists Aetherion series,electrical; radio/connected; laser
Kickstarter,870254269,no EU retail found,Maker site plus exact-title Amazon.de/.nl and web searches for EU seller/distributor,2026-09-03,https://www.nestworks.ai/,No checkout or named European reseller found; product still in campaign fulfillment,electrical; machinery; CRA interface triage
Kickstarter,235978012,established EU channel,Official EU shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://eu.makera.com/products/makera-z1-desktop-cnc,Official EU store lists Z1,electrical; machinery; connected
Kickstarter,1431038175,established EU channel,Exact-title Amazon.de/.nl and European reseller search,2026-09-03,https://korena.eu/en-bg/products/hacksmith-smith-blade-pro-21-in-1-titanium-multi-tool-766H89H7,EU retailer lists exact product,GPSR/packaging
Kickstarter,1323681751,established EU channel,Maker site plus exact-title Amazon.de/.nl and distributor search,2026-09-03,https://response-nordic.eu/valerion,Netherlands-based European distributor lists Valerion,electrical; radio/connected; laser
Kickstarter,1404966192,established EU channel,Official EU shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://eu.libernovo.com/pages/faqs,EU shop and EU order information,electrical; connected
Kickstarter,431199298,established EU channel,Official EU shipping page plus exact-title Amazon.de/.nl and web search,2026-09-03,https://ai.ugreen.com/pages/ugreen-ai-nas-feature-introduction,Official order page names Germany and Netherlands delivery,electrical; connected
Kickstarter,27228399,established EU channel,Official EU shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://www.soundcore.com/eu/products/d2151-nebula-x1-pro-4k-projector,Official EU store lists exact product,electrical; radio/connected; laser
Kickstarter,1288458889,established EU channel,Official EU shop plus exact-title Amazon.de/.nl and dealer search,2026-09-03,https://eu.lymow.com/collections/all-products,Official EU store/dealer route,electrical; machinery; radio/connected
Kickstarter,1461739904,direct-to-EU only; no EU distributor found,Maker shop country selector plus exact-title Amazon.de/.nl and distributor search,2026-09-03,https://bumpboxx.com/products/bb-777,US maker takes EU destinations in USD; no EU reseller found,electrical; radio/connected; battery
Kickstarter,623896539,no EU retail yet,Maker/campaign page plus exact-title Amazon.de/.nl and distributor search,2026-09-03,https://www.kickstarter.com/projects/dropout/game-changer-home-edition,Campaign-only item with fulfillment scheduled after the check date,possible toy
Kickstarter,1859235807,established EU channel,Official EU shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://nas-eu.ugreen.com/en-eufr/pages/black-friday-nas-storage-subscription-ugreen-discounts,Official EU NAS store,electrical; connected
Kickstarter,1635542190,established EU channel,Maker reseller page plus exact-title Amazon.de/.nl and European reseller search,2026-09-03,https://www.welectron.com/BuildJet-JetKVM,German retailer lists exact product,electrical; connected
Kickstarter,1842105990,established EU channel,Official EU shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://eu.aeke.com/products/aeke-s1-pro,Official EU store says EU shipping,electrical; machinery; connected
Kickstarter,314469407,established EU channel,Official national shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://www.ankersolix.com/de/collections/f3800-series,Official German store lists F3800 series,electrical; battery
Kickstarter,1619128186,established EU channel,Official EU shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://eu.xlaserlab.com/en-eu/products/xlaserlab-x1-handheld-laser-welding,Official EU store lists exact product,electrical; machinery; laser
Kickstarter,1123655698,established EU channel,Official national shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://de.xtool.com/products/xtool-wonderpress,Official German store lists exact product,electrical; machinery
Kickstarter,878234570,established EU channel,Official EU shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://timemoreeu.com/products/timemore-electric-coffee-grinder-sculptor,Official EU shop lists grinder,electrical
Kickstarter,885506341,established EU channel,Exact-title Amazon.de/.nl and European retailer search,2026-09-03,https://www.roeststaette.com/en/product/meticulous-espresso/,German retailer lists exact machine,electrical
Kickstarter,1725613521,established EU channel,Exact-title Amazon.de/.nl and European retailer search,2026-09-03,https://www.lay3rs-retail.nl/nl/fibreseeker-3.html,Netherlands retailer lists product and EU compliance claims,electrical; machinery; connected
Kickstarter,1788825446,established EU channel,Official national shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://de.ringconn.com/en/products/ringconn-gen-2,Official German shop lists exact ring,electrical; radio/connected; battery
Kickstarter,1649969407,established EU channel,Official EU shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://eu.longer.net/,Official EU storefront lists ePrint,electrical; machinery; connected
Kickstarter,2093512357,established EU channel,Official EU shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://eu.store.igarden.ai/products/igarden-swim-jet-x-series-portable-swim-machine,Official EU store lists exact product,electrical; machinery; battery; connected
Kickstarter,370000575,established EU channel,Maker origin plus exact-title Amazon.de/.nl and European retailer search,2026-09-03,https://www.telescoop.nl/hestia/,Netherlands retailer lists Hestia,GPSR/optical product
Kickstarter,1617789534,established EU channel,Official German shop/campaign shipping page plus exact-title Amazon.de/.nl and web search,2026-09-03,https://www.unihertz.com/de-de/pages/new,Official German shop lists Titan 2 Elite and campaign uses Germany EU warehouse,electrical; radio/connected; battery
Kickstarter,1569193539,established EU channel,Official German shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://de.circular.xyz/shop,Official German shop lists Circular Ring 2,electrical; radio/connected; battery
Kickstarter,2144178057,established EU channel,Official national shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://de.rokid.com/de-de/collections/shop?page=2,Official German shop lists glasses in euros,electrical; radio/connected; battery
Kickstarter,117424443,established EU channel,Official shop shipping page plus exact-title Amazon.de/.nl and web search,2026-09-03,https://store.pongbotsports.com/,Maker states free shipping across EU and UK,electrical; machinery; radio/connected; battery
Kickstarter,710377326,direct-to-EU only; no EU distributor found,Maker shop/shipping tracker plus exact-title Amazon.de/.nl and distributor search,2026-09-03,https://fluxkeyboard.com/product/flux-keyboard/,Australian maker takes direct orders; no EU seller or distributor found,electrical; connected by USB
Kickstarter,691775145,established EU channel,Campaign logistics plus exact-title Amazon.de/.nl and European seller search,2026-09-03,https://www.heise.de/en/news/2-6-million-pounds-for-Spectrum-ZX-Next-Issue-3-C64-Schneider-CPC-in-one-10580598.html,European orders use an EU warehouse,electrical; connected by data interface
Kickstarter,2074726104,established EU channel,Official EU shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://www.eufy.com/eu-en/robot-vacuum-s1-pro,Official EU shop lists exact product,electrical; machinery; radio/connected; battery
Kickstarter,239794322,established EU channel,Official EU shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://eu.makera.com/products/carvera-air,Official EU store lists exact product,electrical; machinery; connected
Kickstarter,367061971,established EU channel,Official EU shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://eu.elegoo.com/collections/orangestorm-giga,Official EU store lists exact product,electrical; machinery; connected
Kickstarter,1541453079,established EU channel,Maker location/shop plus exact-title Amazon.de/.nl and web search,2026-09-03,https://kode.diy/news/kode-dot-manufacturing-made-in-spain,Maker manufactures in Spain and sells with EU VAT,electrical; connected by data interface; battery
Kickstarter,1992039377,established direct EU channel,Localized maker shop/terms plus exact-title Amazon.de/.nl and distributor search,2026-09-03,https://support.hallidayglobal.com/hc/en-us/articles/60153628246297-Terms-of-Service,Maker terms explicitly cover EU sales and prescription orders,electrical; radio/connected; battery; optical
Kickstarter,134218902,no EU retail yet,Maker page plus exact-title Amazon.de/.nl and distributor search,2026-09-03,https://www.dvx.red/,Maker says Kickstarter-only and not in stores or Amazon,electrical; battery; optical/laser; CRA interface triage
